WAVELGNTH,RL,RM1 Envel,w/ RM1,RM2 Envel,w/ RM2,RH1 Envel,w/ RH1,RH2 Envel,w/ RH2,RH3 Envel,w/ RH3,RH4 Envel,w/ RH4
643,0.405,0.982,0.382,0.590,0.230,0.619,0.211,0.705,0.240,0.457,0.156,0.506,0.172
644,0.406,0.982,0.383,0.593,0.232,0.600,0.205,0.709,0.242,0.456,0.156,0.508,0.174
645,0.407,0.982,0.384,0.597,0.234,0.581,0.199,0.712,0.244,0.456,0.156,0.510,0.175
646,0.408,0.982,0.385,0.600,0.235,0.563,0.193,0.716,0.246,0.455,0.156,0.511,0.175
647,0.410,0.982,0.386,0.604,0.237,0.545,0.187,0.720,0.248,0.454,0.156,0.513,0.176
648,0.411,0.982,0.387,0.607,0.239,0.528,0.182,0.724,0.249,0.453,0.156,0.515,0.177
649,0.412,0.982,0.387,0.611,0.241,0.511,0.176,0.727,0.251,0.452,0.156,0.516,0.178
650,0.413,0.982,0.388,0.614,0.243,0.495,0.171,0.731,0.253,0.451,0.156,0.518,0.179
651,0.414,0.981,0.389,0.618,0.245,0.480,0.166,0.734,0.255,0.451,0.156,0.519,0.180
652,0.415,0.981,0.390,0.621,0.247,0.465,0.161,0.738,0.256,0.450,0.156,0.521,0.181
653,0.416,0.981,0.390,0.624,0.248,0.451,0.157,0.742,0.258,0.449,0.156,0.522,0.182
654,0.417,0.981,0.391,0.628,0.250,0.438,0.153,0.745,0.260,0.449,0.156,0.524,0.182
655,0.418,0.981,0.391,0.631,0.252,0.425,0.148,0.749,0.261,0.448,0.156,0.525,0.183
656,0.419,0.981,0.391,0.634,0.253,0.414,0.144,0.752,0.263,0.447,0.156,0.526,0.184
657,0.419,0.981,0.392,0.638,0.255,0.403,0.141,0.756,0.264,0.447,0.156,0.527,0.184
658,0.420,0.980,0.392,0.641,0.256,0.392,0.137,0.759,0.266,0.446,0.156,0.528,0.185
659,0.421,0.980,0.393,0.644,0.258,0.382,0.134,0.763,0.267,0.446,0.156,0.529,0.185
